Product Name,Product Type,Price,Rating,Reviews
2014 | Matte Lip Kit,Lip Kits,"$17.40
$29.00",5.0 star rating,25 Reviews
No Sleep | Matte Lip Kit,Lip Kits,$29.00,4.8 star rating,57 Reviews
Creep It Real | Matte Lipstick,Lip Kits,$17.00,4.8 star rating,77 Reviews
Partner In Crime | High Gloss,Lip Kits,$16.00,4.7 star rating,160 Reviews
23 | High Gloss,Lip Kits,$16.00,4.9 star rating,221 Reviews
Kylie's Coconut + Bare Lip Kit Combo,Lip Kits,$39.00,4.8 star rating,208 Reviews
Flirtini | Matte Lipstick,Lip Kits,$17.00,4.7 star rating,61 Reviews
August | Matte Lipstick,Lip Kits,$17.00,4.8 star rating,71 Reviews
Birthday Behavior | Matte Lipstick,Lip Kits,$17.00,4.8 star rating,104 Reviews
Twenty | Matte Liquid Lipstick,Lip Kits,$17.00,4.9 star rating,135 Reviews
Clove | Matte Liquid Lipstick,Lip Kits,$17.00,4.9 star rating,96 Reviews
22 | Matte Liquid Lipstick,Lip Kits,$17.00,4.8 star rating,58 Reviews
Bare | Matte Liquid Lipstick,Lip Kits,$17.00,4.5 star rating,237 Reviews
Nova | Matte Lipstick,Lip Kits,"$10.00
$17.00",4.7 star rating,177 Reviews
Miami | Matte Lipstick,Lip Kits,"$10.00
$17.00",4.7 star rating,100 Reviews
Vacay | Matte Lipstick,Lip Kits,"$10.00
$17.00",4.7 star rating,112 Reviews
Tangerine | Matte Lipstick,Lip Kits,$17.00,4.8 star rating,55 Reviews
Candy K | Velvet Lip Kit,Lip Kits,$27.00,4.5 star rating,300 Reviews
Charm | Velvet Liquid Lipstick,Lip Kits,"$10.00
$16.00",4.7 star rating,180 Reviews
Angel | Matte Liquid Lipstick,Lip Kits,$17.00,4.8 star rating,247 Reviews
One Wish | Matte Liquid Lipstick,Lip Kits,$17.00,4.7 star rating,198 Reviews
Victoria | Matte Lip Kit,Lip Kits,$29.00,4.6 star rating,197 Reviews
Red Velvet | Velvet Lip Kit,Lip Kits,$27.00,4.8 star rating,219 Reviews
Caramel | Lip Liner,Lip Kits,$12.00,4.8 star rating,52 Reviews
Iced Latte | Lip Liner,Lip Kits,$12.00,4.8 star rating,116 Reviews
Coconut | Lip Liner,Lip Kits,$12.00,4.7 star rating,301 Reviews
Dazzle | Lip Liner,Lip Kits,$12.00,4.5 star rating,34 Reviews
Apricot | Matte Liquid Lipstick,Lip Kits,$17.00,4.5 star rating,47 Reviews
Head Over Heels | Matte Liquid Lipstick,Lip Kits,$17.00,4.8 star rating,85 Reviews
High Maintenance | Matte Liquid Lipstick,Lip Kits,$17.00,4.7 star rating,83 Reviews
Show Off | Matte Lip Kit,Lip Kits,$29.00,4.7 star rating,59 Reviews
Shady | Matte Lip Kit,Lip Kits,"$17.40
$29.00",4.7 star rating,88 Reviews
One Wish | Matte Lip Kit,Lip Kits,$29.00,4.5 star rating,158 Reviews
Party Girl | Velvet Lip Kit,Lip Kits,$27.00,4.6 star rating,60 Reviews
LA | Velvet Lip Kit,Lip Kits,$27.00,4.2 star rating,66 Reviews
Autumn | Matte Liquid Lipstick,Lip Kits,$17.00,4.8 star rating,238 Reviews
Boujee | Matte Liquid Lipstick,Lip Kits,$17.00,4.7 star rating,104 Reviews
Commando | Matte Liquid Lipstick,Lip Kits,$17.00,4.6 star rating,65 Reviews
Bare | Velvet Lip Kit,Lip Kits,$27.00,4.6 star rating,293 Reviews
Say No More | Velvet Lip Kit,Lip Kits,"$15.00
$27.00",4.8 star rating,95 Reviews
Angel | Matte Lip Kit,Lip Kits,$29.00,4.8 star rating,420 Reviews
Hollyberry | Matte Lip Kit,Lip Kits,$29.00,4.6 star rating,225 Reviews
Clove | Matte Lip Kit,Lip Kits,$29.00,4.7 star rating,176 Reviews
Twenty | Matte Lip Kit,Lip Kits,$29.00,4.8 star rating,417 Reviews
Posie K | Velvet Liquid Lipstick,Lip Kits,$16.00,4.6 star rating,147 Reviews
Glamour | Super Glitter Gloss,Lip Kits,$15.00,4.4 star rating,42 Reviews
Glitz | Super Glitter Gloss,Lip Kits,$15.00,4.7 star rating,116 Reviews
Cosmic | Matte Lipstick,Lip Kits,$17.00,4.7 star rating,50 Reviews
Posie K Trio | Lip Set,Lip Kits,"$36.00
$48.00",4.8 star rating,229 Reviews
Shook | Velvet Liquid Lipstick,Lip Kits,$16.00,4.8 star rating,75 Reviews
Heat | Velvet Liquid Lipstick,Lip Kits,$16.00,4.8 star rating,58 Reviews
Crème Brulee | Crème Lipstick,Lip Kits,$17.00,4.6 star rating,98 Reviews
Butterscotch | Crème Lipstick,Lip Kits,$17.00,4.5 star rating,55 Reviews
Madeleine | Crème Lipstick,Lip Kits,$17.00,4.9 star rating,54 Reviews
Crush | Crème Lipstick,Lip Kits,$17.00,4.4 star rating,62 Reviews
Amore | Crème Lipstick,Lip Kits,"$10.20
$17.00",4.7 star rating,57 Reviews
Passion | Crème Lipstick,Lip Kits,$17.00,4.7 star rating,63 Reviews
Brat | Velvet Liquid Lipstick,Lip Kits,$16.00,4.6 star rating,61 Reviews
Punk | Velvet Liquid Lipstick,Lip Kits,$16.00,4.8 star rating,25 Reviews
